DiscDate,DiscTime,Code,DiscNo,DocType,CurPerType,CurPerSt,CurPerEn,CurFYSt,CurFYEn,NxtFYSt,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,Div1Q,Div2Q,Div3Q,DivFY,DivAnn,DivUnit,DivTotalAnn,PayoutRatioAnn,FDiv1Q,FDiv2Q,FDiv3Q,FDivFY,FDivAnn,FDivUnit,FDivTotalAnn,FPayoutRatioAnn,NxFDiv1Q,NxFDiv2Q,NxFDiv3Q,NxFDivFY,NxFDivAnn,NxFDivUnit,NxFPayoutRatioAnn,FSales2Q,FOP2Q,FOdP2Q,FNP2Q,FEPS2Q,NxFSales2Q,NxFOP2Q,NxFOdP2Q,NxFNp2Q,NxFEPS2Q,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS,MatChgSub,SigChgInC,ChgByASRev,ChgNoASRev,ChgAcEst,RetroRst,ShOutFY,TrShFY,AvgSh,NCSales,NCOP,NCOdP,NCNP,NCEPS,NCTA,NCEq,NCEqAR,NCBPS,FNCSales2Q,FNCOP2Q,FNCOdP2Q,FNCNP2Q,FNCEPS2Q,NxFNCSales2Q,NxFNCOP2Q,NxFNCOdP2Q,NxFNCNP2Q,NxFNCEPS2Q,FNCSales,FNCOP,FNCOdP,FNCNP,FNCEPS,NxFNCSales,NxFNCOP,NxFNCOdP,NxFNCNP,NxFNCEPS
2022-01-27,12:00:00,86970,20220126573026,3QFinancialStatements_Consolidated_IFRS,3Q,2021-04-01,2021-12-31,2021-04-01,2022-03-31,,,100586000000,55967000000,,38013000000,71.71,,62076519000000,311381000000,0.005,,,,,73158000000,,26.0,,,,,,,,,,27.0,53.0,,,,,,,,,,,,,,,,,,,,,131000000000,67500000000,,46000000000,86.88,,,,,,false,,false,false,false,,536351448,8822727,530119112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-22,12:00:00,86970,20220318508090,EarnForecastRevision,FY,2021-04-01,2022-03-31,2021-04-01,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,72.0,,,,,,,,,,,,,,,,,,,,,135500000000,73500000000,,50000000000,94.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-26,12:00:00,86970,20220425527054,FYFinancialStatements_Consolidated_IFRS,FY,2021-04-01,2022-03-31,2021-04-01,2022-03-31,2022-04-01,2023-03-31,135432000000,73473000000,,49955000000,94.35,,71463434000000,323852000000,0.004,598.35,58191000000,-13299000000,-59747000000,93354000000,,26.0,,46.0,72.0,,38057000000,0.763,,,,,,,,,,26.0,,26.0,52.0,,0.61,,,,,,,,,,,,,,,,132500000000,65500000000,,45000000000,85.3,false,,false,false,false,,528578441,1037782,529487172,52727000000,46339000000,46451000000,43365000000,81.9,233153000000,121796000000,0.522,230.88,,,,,,,,,,,,,,,,,,,,
2022-07-27,12:00:00,86970,20220726504583,1QFinancialStatements_Consolidated_IFRS,1Q,2022-04-01,2022-06-30,2022-04-01,2023-03-31,,,33576000000,17777000000,,12089000000,22.93,,76048180000000,310098000000,0.004,,,,,80470000000,,,,,,,,,,26.0,,26.0,52.0,,,,,,,,,,,,,,,,,,,,,132500000000,65500000000,,45000000000,85.42,,,,,,false,,false,false,false,,528578441,1938843,527204054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-27,12:00:00,86970,20221026549969,2QFinancialStatements_Consolidated_IFRS,2Q,2022-04-01,2022-09-30,2022-04-01,2023-03-31,,,66486000000,34127000000,,23189000000,44.01,,78465370000000,321568000000,0.004,,,,,100127000000,,26.0,,,,,,,,,,26.0,52.0,,,,,,,,,,,,,,,,,,,,,132500000000,65500000000,,45000000000,85.42,,,,,,false,,false,false,true,,528578441,1861043,526953869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
